Starting DDPM training on latent representations from VQ-VAE...
Epoch 122/500, Loss: 0.4961606277248738
Epoch 123/500, Loss: 0.4898345456138737
Epoch 124/500, Loss: 0.49870468204833995
Epoch 125/500, Loss: 0.4911347994252694
Epoch 126/500, Loss: 0.4955039483925091
Epoch 127/500, Loss: 0.4954474559548042
Epoch 128/500, Loss: 0.48199514209183436
Epoch 129/500, Loss: 0.4860112077901782
Epoch 130/500, Loss: 0.4895609645065069
Epoch 131/500, Loss: 0.4857192442898944
Epoch 132/500, Loss: 0.4794476023280054
Epoch 133/500, Loss: 0.49350966886940395
Epoch 134/500, Loss: 0.4821324266131028
Epoch 135/500, Loss: 0.4846853381902198
Epoch 136/500, Loss: 0.5063928926069037
Epoch 137/500, Loss: 0.46603733933970315
Epoch 138/500, Loss: 0.4726648426989539
Epoch 139/500, Loss: 0.5029165049852273
Epoch 140/500, Loss: 0.47081660805558606
Epoch 141/500, Loss: 0.47268854725628223
Epoch 142/500, Loss: 0.4507144465914562
Epoch 143/500, Loss: 0.48381529174291465
Epoch 144/500, Loss: 0.48680346089732385
Epoch 145/500, Loss: 0.4697910808262632
Epoch 146/500, Loss: 0.4774045086704628
Epoch 147/500, Loss: 0.4702640171423715
Epoch 148/500, Loss: 0.46615207903935163
Epoch 149/500, Loss: 0.4694642042136522
Epoch 150/500, Loss: 0.466271357603044
Epoch 151/500, Loss: 0.4690792109151893
Epoch 152/500, Loss: 0.46562457982433664
Epoch 153/500, Loss: 0.48183056252711487
Epoch 154/500, Loss: 0.46522982250186534
Epoch 155/500, Loss: 0.47658990489786635
Epoch 156/500, Loss: 0.4642960237968133
Epoch 157/500, Loss: 0.45235989426848766
Epoch 158/500, Loss: 0.48429549904791075
Epoch 159/500, Loss: 0.4713412761720347
Epoch 160/500, Loss: 0.46917619410267997
Epoch 161/500, Loss: 0.47157469959498044
Epoch 162/500, Loss: 0.4553859794641853
Epoch 163/500, Loss: 0.4707750150970743
Epoch 164/500, Loss: 0.4559471808073607
Epoch 165/500, Loss: 0.47418628856068046
Epoch 166/500, Loss: 0.4779035707954257
Epoch 167/500, Loss: 0.4556904440401483
Epoch 168/500, Loss: 0.4649994487677006
Epoch 169/500, Loss: 0.4799037567627865
Epoch 170/500, Loss: 0.48026151126421235
Epoch 171/500, Loss: 0.4639724895211563
Epoch 172/500, Loss: 0.46310216064363163
Epoch 173/500, Loss: 0.4659557082699833
Epoch 174/500, Loss: 0.4611251238326578
Epoch 175/500, Loss: 0.4741467386637192
Epoch 176/500, Loss: 0.4644026598021998
Epoch 177/500, Loss: 0.477875786714039
Epoch 178/500, Loss: 0.4721994704538294
Epoch 179/500, Loss: 0.4716483415904804
Epoch 180/500, Loss: 0.45764022772164026
Epoch 181/500, Loss: 0.45544957323526714
Epoch 182/500, Loss: 0.44204780744470995
Epoch 183/500, Loss: 0.4533121353241109
Epoch 184/500, Loss: 0.4637379044293554
Epoch 185/500, Loss: 0.46480594857938085
Epoch 186/500, Loss: 0.4471550421739862
Epoch 187/500, Loss: 0.4597611036590714
Epoch 188/500, Loss: 0.45917414834548254
Epoch 189/500, Loss: 0.4592638348852955
Epoch 190/500, Loss: 0.44935671063900245
Epoch 191/500, Loss: 0.47204539298098974
Epoch 192/500, Loss: 0.4528775960130462
Epoch 193/500, Loss: 0.4578162999638027
Epoch 194/500, Loss: 0.46644025753304397
Epoch 195/500, Loss: 0.4409120106768036
Epoch 196/500, Loss: 0.4459295793514747
Epoch 197/500, Loss: 0.4559760549552799
Epoch 198/500, Loss: 0.46291770353503847
Epoch 199/500, Loss: 0.47471942174161086
Epoch 200/500, Loss: 0.44746971091005655
Epoch 201/500, Loss: 0.4537329787569339
Epoch 202/500, Loss: 0.45317091791479597
Epoch 203/500, Loss: 0.4441145071955518
Epoch 204/500, Loss: 0.4692447982394289
Epoch 205/500, Loss: 0.4511730228525643
Epoch 206/500, Loss: 0.44729148522762036
Epoch 207/500, Loss: 0.4547440874982918
Epoch 208/500, Loss: 0.43631524813877304
Epoch 209/500, Loss: 0.4497329568009169
Epoch 210/500, Loss: 0.431332997900207
Epoch 211/500, Loss: 0.46279651032016084
Epoch 212/500, Loss: 0.46673035612460306
Epoch 213/500, Loss: 0.47512811038779607
Epoch 214/500, Loss: 0.4588294761902191
Epoch 215/500, Loss: 0.417597371171347
Epoch 216/500, Loss: 0.4722196179894221
Epoch 217/500, Loss: 0.4564863681642174
Epoch 218/500, Loss: 0.4679070983567789
Epoch 219/500, Loss: 0.46163854222686496
